"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSG00000171368" 4.87900378678429 2.00309583973994 10.6990242521268 2.55888140155164e-07 5.10332808750478e-05 7.44996837214498
"ENSG00000113657" -3.29078349968389 4.31559012009328 -10.6729838471992 2.62526867032855e-07 5.19135755537681e-05 7.4253071213859
"ENSG00000103351" 3.74773775412189 2.91776685715877 10.5842746521625 2.86574401652879e-07 5.61926646064561e-05 7.34083723158879
"ENSG00000134955" -4.03923033226241 1.34757695240392 -10.5627359958977 2.92765016834582e-07 5.69281575234844e-05 7.32022021672448
"ENSG00000162706" 6.5282148152435 1.55849238395014 10.5230563861378 3.04550744624554e-07 5.86355661943177e-05 7.28212767326389
"ENSG00000143512" 3.60704044167643 5.32518346965054 10.5164196690344 3.06571486916378e-07 5.86355661943177e-05 7.27574234069852
"ENSG00000146205" -4.32975140847894 0.243570438522241 -10.4884209715319 3.15257151528543e-07 5.980658840461e-05 7.24875966527746
"ENSG00000102230" 4.61017947000518 1.70329032459123 10.4636802192589 3.23153299549377e-07 6.08101539652029e-05 7.22485667457921
"ENSG00000156804" -3.35809337323471 6.2970450460428 -10.4491730054613 3.27882390494186e-07 6.08521510883971e-05 7.21081442698855
"ENSG00000136689" -4.18255172859616 3.25959826727718 -10.4470149687083 3.28592227527987e-07 6.08521510883971e-05 7.20872389452472
"ENSG00000136943" -4.47401843898639 0.254267388294575 -10.4341290109037 3.32865422560173e-07 6.11581241733786e-05 7.19623204367702
"ENSG00000150510" -3.54959349070349 0.00700708240645347 -10.4209856969487 3.37285785617722e-07 6.14861447000307e-05 7.18347485701658
"ENSG00000116663" -3.95550611319803 0.133267603035134 -10.4065835460176 3.42202343308725e-07 6.18988331687271e-05 7.16947740409684
"ENSG00000171045" -3.48373562745466 -0.0518269430166644 -10.3818057884366 3.50842744282729e-07 6.27126014217647e-05 7.14535074372947
"ENSG00000154188" 4.02974788616838 1.51185936559996 10.3783218449246 3.52076402942109e-07 6.27126014217647e-05 7.14195376162464
"ENSG00000277610" -3.90455105922936 0.968286372227669 -10.3602528119538 3.58550130315879e-07 6.33818843999298e-05 7.12431756164942
"ENSG00000025039" -4.66565589636456 3.81301220069834 -10.3211217708048 3.73014303117462e-07 6.54429755559614e-05 7.08601911896552
"ENSG00000164099" -3.15338832440207 -0.520602010438635 -10.2886569593929 3.85492319529751e-07 6.71274461485614e-05 7.05413586828934
"ENSG00000135424" 2.78112993128664 6.65727691871971 10.2727654280105 3.91763788813607e-07 6.77141944309386e-05 7.03849277599551
"ENSG00000078401" -3.78299887463768 -0.262567896211744 -10.2388174396683 4.05532814557577e-07 6.92042110758048e-05 7.00499545497413
"ENSG00000118785" -2.70111135695894 6.01449662198041 -10.2369240465337 4.0631597314585e-07 6.92042110758048e-05 7.00312397916405
"ENSG00000153012" 2.71903149678285 -0.079915033112079 10.1475403004564 4.45209344919108e-07 7.52790931474092e-05 6.91438600215028
"ENSG00000157470" -4.97671811199135 0.804055085820453 -10.1391163818131 4.49076686480318e-07 7.5386729513178e-05 6.90598350431301
