"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSG00000112667" 52.4000107948655 -6.96904307099692 0.818069914628576 -8.5188844454218 1.6109747773734e-17 5.44611882470751e-14
"ENSG00000112679" 82.1865023865828 1.58203931195462 0.363301834129652 4.35461416192584 1.33301497620912e-05 0.00127405813934188
"ENSG00000112769" 58.4427204019241 2.17506567604546 0.491713788274604 4.42343844714552 9.71423173228224e-06 0.00100246647898139
"ENSG00000113504" 8.07096141343279 -6.63723573870221 1.42493390196767 -4.65792534624724 3.19411991879656e-06 0.000385486964098151
"ENSG00000113552" 864.999459276534 0.990582046952208 0.289038190484958 3.42716664981252 0.000609914638593301 0.0257773627534164
"ENSG00000115318" 120.014831960338 -1.51281593756991 0.364649909333257 -4.14868041606268 3.34397252091014e-05 0.00272122929544465
"ENSG00000115414" 277.985776765623 1.46081219046197 0.334742780741676 4.36398415292276 1.27714832990348e-05 0.00124651922776311
"ENSG00000115461" 30.7983806087055 -4.01007968016044 0.663370091731652 -6.04501126918849 1.49399559239836e-09 4.83545255257841e-07
"ENSG00000116017" 60.4998457994192 -1.59168201093695 0.486152494557986 -3.2740385552976 0.00106022144297078 0.0380317722149795
"ENSG00000116128" 11.8636862422354 -2.429719849182 0.66796329064097 -3.63750505937306 0.000275291786414732 0.0141531780878419
"ENSG00000116741" 17.5677203490104 2.4454201329864 0.634021592716011 3.85699818599356 0.000114788013892354 0.00726531602596008
"ENSG00000116824" 6.27821405912303 -4.69648944588018 1.30180245316396 -3.60768212908618 0.000308944662723387 0.0153298987520688
"ENSG00000117148" 103.675030349897 -6.96286574399652 0.593228651901738 -11.7372377778372 8.21250651017711e-32 5.84771526057161e-28
"ENSG00000117308" 57.0149934730285 -1.57805579929948 0.414129227507614 -3.81053954775617 0.000138663826690577 0.00854853487402817
"ENSG00000117394" 116.377196683014 -2.09384417674728 0.373124691648771 -5.61164732222613 2.00409564733237e-08 4.60327840542908e-06
"ENSG00000117525" 20.3346292628393 -3.53023161849929 0.688340446276674 -5.12861279268825 2.91884996591267e-07 4.80982029461578e-05
"ENSG00000117643" 51.5716478037797 1.5156438493256 0.455358794231331 3.32846069632648 0.000873273260138823 0.0331634253270319
"ENSG00000118523" 39.0223173622284 -1.88727367507439 0.461647856960946 -4.08812398155257 4.34875731088829e-05 0.00332544690450613
"ENSG00000121068" 48.6186243466055 -2.21164356437889 0.552026832987858 -4.00640590677145 6.16496680765962e-05 0.00445661382273506
"ENSG00000121310" 3.22004931349898 -6.23807577193893 1.6496005671854 -3.7815674267029 0.000155843997417833 0.00924739319678065
"ENSG00000121388" 2.91288133631214 -6.04012356536122 1.69075488378474 -3.57244188574541 0.000353667983304279 0.0173078548118084
"ENSG00000121552" 50.412569780527 4.74104773778886 0.703812912127936 6.73623296204469 1.62545603637691e-11 9.60819601391797e-09
"ENSG00000122861" 803.06759077152 -1.05516911611325 0.29064793288437 -3.63040296086687 0.000282979081744294 0.0143925182254303
"ENSG00000123143" 72.9428620902475 -1.79036718596654 0.55213910411545 -3.24260167885553 0.0011844367604509 0.0412806913210274
"ENSG00000123358" 6.10633390215615 -3.60671003824135 1.02351807288001 -3.52383620163409 0.000425347103672654 0.019925552971718
"ENSG00000123407" 8.62465410083216 -7.21317890708704 1.37782569397903 -5.23518971856016 1.64815482505238e-07 2.93392160794637e-05
"ENSG00000123689" 39.6296696461578 -9.81629560716683 1.27506688911484 -7.69865149112399 1.3750964352904e-14 1.95827483349706e-11
"ENSG00000124191" 220.092584652673 2.85192441853624 0.486059681834993 5.86743670606362 4.42583870821011e-09 1.21208402006962e-06
"ENSG00000124225" 67.603262406691 -3.37763338059118 0.462064417788965 -7.30987552937656 2.67389958151343e-13 2.53860026268885e-10
"ENSG00000124479" 65.8974773779623 1.42742181168639 0.442847810573376 3.22327846633867 0.00126732285475395 0.0431497775576796
"ENSG00000125398" 5.7448161160224 -5.79774598719686 1.41901474298564 -4.08575458137825 4.39337981340351e-05 0.00332798520865316
"ENSG00000125458" 154.865573605072 -1.15485979237473 0.333955062952696 -3.45812931286001 0.000543940234819396 0.0236474046205594
"ENSG00000125844" 65.3219191562585 -1.18995457975129 0.360545754911428 -3.30042598904988 0.000965381724860495 0.0354967717007913
"ENSG00000126005" 696.694776486522 1.03690502588788 0.322551183666803 3.21469918076323 0.00130581286594948 0.0440129363598954
"ENSG00000126561" 8.61355697935845 -3.59898178531392 0.912733857144789 -3.94307908832509 8.04421128532377e-05 0.00550757754395653
"ENSG00000127241" 10.6872639645245 -5.30518175184893 1.12265633794463 -4.72556166347547 2.29480183059116e-06 0.000289205954596891
"ENSG00000128283" 59.5946372198624 -1.91957208362635 0.562778774176855 -3.41088216490396 0.000647530691407716 0.0265748835052948
"ENSG00000128311" 38.9194257052613 -1.58363478626099 0.4879224219582 -3.24566921910521 0.00117174901917043 0.0409996997100886
"ENSG00000129226" 255.637769760956 -1.42792250123684 0.410820567737545 -3.47578143202673 0.000509367233901318 0.0225276359564865
"ENSG00000129244" 6.29155292695109 -3.40506966587949 0.977643708482199 -3.48293518010349 0.000495948431030965 0.0220024972159251
"ENSG00000129353" 42.1087352191726 -2.0761337898542 0.475388279929183 -4.36723806098769 1.25827558776923e-05 0.00124438212815428
"ENSG00000129521" 4.84824765891437 -4.38294641077587 1.28842456268091 -3.40178737485102 0.000669467015888725 0.0271620506361007
"ENSG00000129988" 153.682021855561 2.01596983028504 0.523592240069747 3.85026682216774 0.000117989215075185 0.00743488677825538
"ENSG00000130508" 94.7022033520747 -10.4586977939521 1.23057820440749 -8.49901107990761 1.91212654473264e-17 5.44611882470751e-14
"ENSG00000130702" 15.9618393391485 -2.48647240259881 0.565832248245137 -4.39436318857809 1.11097943787369e-05 0.00111402604037125
"ENSG00000130707" 18.5282768941969 -2.77649072777949 0.631029315245597 -4.3999393700099 1.08281127424456e-05 0.001093639386987
"ENSG00000130714" 8.30987603720696 -7.16057233335195 1.34448718766584 -5.3258762143977 1.00467536613956e-07 1.85812751807708e-05
"ENSG00000130844" 3.60027361833347 -6.35331555625722 1.61258656708972 -3.93982914524908 8.15396596744883e-05 0.00552955377821137
"ENSG00000131669" 38.9216307784174 -1.66517682879213 0.487639940475551 -3.4147671069934 0.000638365683888341 0.0263506252297213
"ENSG00000131778" 110.599877914907 -1.4707582683478 0.283522336430143 -5.18745114358981 2.13191830349149e-07 3.65790946506293e-05
"ENSG00000132205" 45.0221946133442 3.11730037313221 0.562236001288228 5.54446952167714 2.94846684582464e-08 6.26703229125204e-06
"ENSG00000132688" 22.0957557777219 -3.99186016995701 0.74466618411057 -5.36060352293946 8.29443782811875e-08 1.59623093392215e-05
"ENSG00000132718" 72.1068226355927 -0.985156198108772 0.309759412290861 -3.18039148777736 0.00147076210278528 0.0479293434914535
"ENSG00000132840" 14.4421058465572 -6.53561467090881 1.30940018980275 -4.99130420310488 5.99729570367244e-07 8.98428790573729e-05
"ENSG00000133030" 204.740987030101 -1.36219526253457 0.301490292741987 -4.51820604287359 6.23657805190845e-06 0.000693868031540846
"ENSG00000133216" 46.4300952104086 -1.8760892866213 0.446522338049068 -4.20155751852921 2.65084875069417e-05 0.00228792345809913
"ENSG00000133313" 93.9300495483265 -1.17147175697367 0.368421632161061 -3.179704052941 0.00147425532282204 0.0479334932701112
"ENSG00000133424" 21.8370415876673 -2.17798234406361 0.581628854540696 -3.74462567848965 0.000180662925375539 0.0104787980671343
"ENSG00000133665" 10.1892432259165 4.86013295882614 1.35106478221955 3.5972612289115 0.000321585472424602 0.0159017316416623
"ENSG00000133805" 50.1787628092533 -1.60942318747065 0.498664115687515 -3.22746942649305 0.00124890386614313 0.0427471226480629
"ENSG00000134013" 797.145022935888 -1.02391448337948 0.283789054219769 -3.60801260004395 0.00030855150869696 0.0153298987520688
"ENSG00000134121" 4.41429846968582 -5.91813078469077 1.61505330282744 -3.66435632454361 0.000247961383190944 0.0132012261416333
"ENSG00000134363" 56.053621415617 1.635718050259 0.449040041442425 3.64269975792064 0.000269793461290788 0.0140223674534384
"ENSG00000135111" 18.0761342938651 -1.89147840406398 0.533757956960583 -3.54370062197248 0.000394552994789971 0.0188121072391597
"ENSG00000135124" 56.7079376890444 -1.1733235389535 0.360272531272887 -3.25676657836779 0.00112689059963158 0.0400200723924023
"ENSG00000135127" 15.0438071918433 3.77287651634908 1.08866790635696 3.46558991435171 0.000529069585157679 0.0231830152684016
"ENSG00000135245" 481.620152283325 -0.982673274390697 0.308105293148915 -3.18940731055777 0.00142564849511284 0.0469604686692808
"ENSG00000135424" 155.882146984328 1.17173478953766 0.302197120021747 3.87738569266756 0.000105584906902252 0.00683470299634075
"ENSG00000135679" 101.15637740156 1.46861938185648 0.404131834257381 3.63401063060316 0.000279049356556744 0.014294754988218
"ENSG00000136205" 35.7189755293986 -2.51594536834234 0.539787394200301 -4.66099318986457 3.14687137181823e-06 0.000383030728256952
"ENSG00000136235" 161.854138865666 1.94279456951763 0.491621942877923 3.95180605272547 7.75635925880408e-05 0.00533615034804971
"ENSG00000136247" 81.012831825312 1.41185804468426 0.43844131073441 3.22017567714896 0.00128112061767694 0.0434391398008032
"ENSG00000136695" 221.863257002513 -1.99135643642523 0.437489027833543 -4.55178601000915 5.31924236814875e-06 0.00060601064451845
"ENSG00000136696" 64.7228397360969 -2.44304711830345 0.612401255056922 -3.98929149496333 6.62709426936068e-05 0.00471882247449827
"ENSG00000136697" 5.85251566634405 4.92787105787326 1.36576892813631 3.60812942537629 0.000308412636279706 0.0153298987520688
"ENSG00000136717" 214.865093057344 -1.20648036008889 0.345132220950082 -3.49570479617255 0.000472811468045879 0.0213755813220361
"ENSG00000136732" 88.7909621328794 -1.40080187197334 0.335322636541815 -4.17747482370955 2.94763278319534e-05 0.0024692493214991
"ENSG00000137801" 22.3160610347124 -5.859225617465 0.873669601669044 -6.70645471271019 1.99409694797603e-11 1.05177535689358e-08
"ENSG00000137868" 2.21618811263164 -5.77084970404781 1.81906169592286 -3.17243209341512 0.00151167907312469 0.0488159221777068
"ENSG00000138172" 15.1656495278435 -4.61607502166065 0.835043147508732 -5.52794790955683 3.23998213696341e-08 6.78538023713176e-06
"ENSG00000138621" 48.534920516508 -1.15826830524515 0.361087356789891 -3.2077232377846 0.00133790181180224 0.0445522999234906
"ENSG00000139211" 11.1458946641804 -3.98102089528593 0.887156952655341 -4.48739186833894 7.21003852067041e-06 0.000795954717619127
"ENSG00000139567" 12.0832576498895 -4.57245267361149 1.03285141417838 -4.42701884399204 9.55443884960362e-06 0.000993173457351863
"ENSG00000140297" 135.205403097851 1.6237222217872 0.405262548769413 4.00659332256992 6.16007926846873e-05 0.00445661382273506
"ENSG00000140830" 53.7033079602433 1.78036925326449 0.511154542289851 3.48303518010202 0.000495763211602908 0.0220024972159251
"ENSG00000141469" 15.6605759103207 -3.01206456080143 0.884314849014324 -3.40609972133652 0.0006589810427308 0.0269670949124406
"ENSG00000141526" 373.44877135026 -2.17102574310319 0.420802772178076 -5.15924772041295 2.47944072570469e-07 4.15408416173653e-05
"ENSG00000141574" 6.34829384375589 -4.24750215047738 1.28434855574242 -3.30712572649104 0.000942585764379436 0.0351396959961454
"ENSG00000141576" 9.85040999495778 -2.64575227748104 0.808023723207542 -3.27434975173554 0.00105905441612734 0.0380317722149795
"ENSG00000142185" 3.00175530598608 -5.7506084929314 1.6434861841522 -3.49903062671492 0.000466952941798583 0.0212383992957017
"ENSG00000142798" 138.141918668906 -3.13643665095719 0.46597907818327 -6.7308529455557 1.68671371636788e-11 9.60819601391797e-09
