"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSG00000283160" -2.21744306874491 -1.09367190526027 -5.47666740093762 0.000165531188995324 0.0921650169162906 1.02712668813593
"ENSG00000104998" 1.6505747259662 -0.759894172764971 5.47526837718407 0.00016589229066959 0.0921650169162906 1.02532738619384
"ENSG00000173846" 1.61744592941339 3.39584488017849 5.39426385031423 0.000188289761962014 0.102175658270271 0.920547566768444
"ENSG00000140830" -1.73530930853743 5.11392820816623 -5.36519642995398 0.00019708846449408 0.104519596147838 0.882661678790694
"ENSG00000214998" 1.6505747259662 -1.38997470932667 5.31659744669068 0.000212784139725352 0.110335669252253 0.818980340933567
"ENSG00000114923" 1.91071169005433 1.02881836682266 5.24200806455484 0.000239494939276901 0.121225835719316 0.720419698904158
"ENSG00000188785" 1.73567085527782 2.65644665830003 5.21482624966479 0.000250090242742589 0.121225835719316 0.684254873039924
"ENSG00000227440" 2.64269132406982 1.095405595021 5.21144694748131 0.000251441652622933 0.121225835719316 0.679749557736616
"ENSG00000237491" -2.08151982681112 -0.854880313229941 -5.20370469992203 0.00025456698166823 0.121225835719316 0.66941983737337
"ENSG00000268364" 1.87800182736413 -1.33132863278819 5.15470803569589 0.00027532053358008 0.128486586611152 0.6038004042277
"ENSG00000170412" 2.14029696599987 -0.468011557628217 5.10278411031801 0.000299273986569065 0.134500536806693 0.533793973716779
"ENSG00000234371" 2.64953705240948 -0.84647369341121 5.09048436364087 0.000305263838236047 0.134500536806693 0.517140647000763
"ENSG00000006283" -2.44960804256038 -1.10495711357188 -5.0900053922589 0.000305499633614242 0.134500536806693 0.516491597241218
"ENSG00000255046" 2.25703976844554 -0.569939608471444 5.06971770743806 0.000315665546181764 0.135769003087462 0.488962579770711
"ENSG00000130413" -2.01347265195273 0.549900657824137 -5.06124171501209 0.000320017792483519 0.135769003087462 0.477439625563064
"ENSG00000260830" 1.88969676775213 -1.42683230668627 5.02439019141842 0.000339688500086571 0.141540918946787 0.427192870242753
"ENSG00000228496" 2.05167592832627 -1.15518335807257 4.95847727489208 0.000378114793432623 0.154788255964155 0.336723595353352
"ENSG00000283078" 3.05756129255256 -0.786411952336434 4.93021327253184 0.000395969997135839 0.159302826089098 0.297695703848749
"ENSG00000106633" 2.29039919578354 -1.09230304081269 4.89357586091467 0.000420445094238865 0.166282471677452 0.246897456570761
"ENSG00000279484" 2.6332587797668 -0.57623899130739 4.8717428326344 0.000435782443594836 0.167631525655208 0.216514321440694
"ENSG00000165606" 2.38776473810125 1.69247331741719 4.86834165139776 0.000438224182093412 0.167631525655208 0.211773722923544
"ENSG00000230480" 1.6505747259662 -1.48482351594375 4.82888053922396 0.000467628588358171 0.17320072191666 0.156625641815415
"ENSG00000278700" 1.6505747259662 -1.48482351594375 4.82888053922396 0.000467628588358171 0.17320072191666 0.156625641815415
"ENSG00000257599" 1.6505747259662 -1.45669638100912 4.80654266714373 0.000485186065367613 0.176895807020123 0.125288308950422
"ENSG00000279130" 1.6505747259662 -1.3276737829101 4.7865405491566 0.000501495539287339 0.179264023449117 0.0971547176695413
"ENSG00000165879" -2.32349596772105 0.477774426229903 -4.77988812195124 0.000507046607852991 0.179264023449117 0.0877826176212135
